NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
BIOCARTA_ARF_PATHWAY%MSIGDB_C2%BIOCARTA_ARF_PATHWAY	12		Rejected!	
PID_TXA2PATHWAY%MSIGDB_C2%PID_TXA2PATHWAY	41	29		
PID_ERBB4_PATHWAY%MSIGDB_C2%PID_ERBB4_PATHWAY	34	26		
BIOCARTA_CREB_PATHWAY%MSIGDB_C2%BIOCARTA_CREB_PATHWAY	18	16		
PID_IL8_CXCR2_PATHWAY%MSIGDB_C2%PID_IL8_CXCR2_PATHWAY	25	19		
BIOCARTA_LIS1_PATHWAY%MSIGDB_C2%BIOCARTA_LIS1_PATHWAY	15		Rejected!	
BIOCARTA_EPO_PATHWAY%MSIGDB_C2%BIOCARTA_EPO_PATHWAY	16		Rejected!	
BIOCARTA_ERBB4_PATHWAY%MSIGDB_C2%BIOCARTA_ERBB4_PATHWAY	7		Rejected!	
BIOCARTA_UCALPAIN_PATHWAY%MSIGDB_C2%BIOCARTA_UCALPAIN_PATHWAY	12		Rejected!	
PID_NEPHRIN_NEPH1_PATHWAY%MSIGDB_C2%PID_NEPHRIN_NEPH1_PATHWAY	29	26		
BIOCARTA_THELPER_PATHWAY%MSIGDB_C2%BIOCARTA_THELPER_PATHWAY	6		Rejected!	
PID_CASPASE_PATHWAY%MSIGDB_C2%PID_CASPASE_PATHWAY	41	36		
PID_CDC42_PATHWAY%MSIGDB_C2%PID_CDC42_PATHWAY	60	56		
BIOCARTA_VEGF_PATHWAY%MSIGDB_C2%BIOCARTA_VEGF_PATHWAY	23	19		
BIOCARTA_AKT_PATHWAY%MSIGDB_C2%BIOCARTA_AKT_PATHWAY	18	15		
BIOCARTA_RAB_PATHWAY%MSIGDB_C2%BIOCARTA_RAB_PATHWAY	11		Rejected!	
BIOCARTA_CREM_PATHWAY%MSIGDB_C2%BIOCARTA_CREM_PATHWAY	5		Rejected!	
PID_SYNDECAN_3_PATHWAY%MSIGDB_C2%PID_SYNDECAN_3_PATHWAY	14		Rejected!	
PID_AURORA_A_PATHWAY%MSIGDB_C2%PID_AURORA_A_PATHWAY	25	24		
PID_MYC_ACTIV_PATHWAY%MSIGDB_C2%PID_MYC_ACTIV_PATHWAY	69	61		
BIOCARTA_HER2_PATHWAY%MSIGDB_C2%BIOCARTA_HER2_PATHWAY	21	21		
BIOCARTA_PTC1_PATHWAY%MSIGDB_C2%BIOCARTA_PTC1_PATHWAY	8		Rejected!	
BIOCARTA_BIOPEPTIDES_PATHWAY%MSIGDB_C2%BIOCARTA_BIOPEPTIDES_PATHWAY	24	20		
PID_TNF_PATHWAY%MSIGDB_C2%PID_TNF_PATHWAY	40	36		
PID_P38_MK2_PATHWAY%MSIGDB_C2%PID_P38_MK2_PATHWAY	17		Rejected!	
BIOCARTA_NOS1_PATHWAY%MSIGDB_C2%BIOCARTA_NOS1_PATHWAY	11		Rejected!	
BIOCARTA_TCYTOTOXIC_PATHWAY%MSIGDB_C2%BIOCARTA_TCYTOTOXIC_PATHWAY	7		Rejected!	
PID_GLYPICAN_1PATHWAY%MSIGDB_C2%PID_GLYPICAN_1PATHWAY	24	18		
BIOCARTA_NGF_PATHWAY%MSIGDB_C2%BIOCARTA_NGF_PATHWAY	17	17		
PID_CXCR3_PATHWAY%MSIGDB_C2%PID_CXCR3_PATHWAY	36	27		
BIOCARTA_TRKA_PATHWAY%MSIGDB_C2%BIOCARTA_TRKA_PATHWAY	12		Rejected!	
BIOCARTA_PLK3_PATHWAY%MSIGDB_C2%BIOCARTA_PLK3_PATHWAY	5		Rejected!	
PID_VEGFR1_PATHWAY%MSIGDB_C2%PID_VEGFR1_PATHWAY	19	17		
BIOCARTA_VIP_PATHWAY%MSIGDB_C2%BIOCARTA_VIP_PATHWAY	18		Rejected!	
PID_GMCSF_PATHWAY%MSIGDB_C2%PID_GMCSF_PATHWAY	32	25		
BIOCARTA_BARRESTIN_PATHWAY%MSIGDB_C2%BIOCARTA_BARRESTIN_PATHWAY	10		Rejected!	
BIOCARTA_CARDIACEGF_PATHWAY%MSIGDB_C2%BIOCARTA_CARDIACEGF_PATHWAY	17		Rejected!	
PID_WNT_NONCANONICAL_PATHWAY%MSIGDB_C2%PID_WNT_NONCANONICAL_PATHWAY	28	25		
BIOCARTA_IL12_PATHWAY%MSIGDB_C2%BIOCARTA_IL12_PATHWAY	16		Rejected!	
BIOCARTA_P27_PATHWAY%MSIGDB_C2%BIOCARTA_P27_PATHWAY	11		Rejected!	
BIOCARTA_RELA_PATHWAY%MSIGDB_C2%BIOCARTA_RELA_PATHWAY	15		Rejected!	
PID_ARF6_PATHWAY%MSIGDB_C2%PID_ARF6_PATHWAY	29	24		
PID_RXR_VDR_PATHWAY%MSIGDB_C2%PID_RXR_VDR_PATHWAY	24	16		
PID_NFKAPPAB_CANONICAL_PATHWAY%MSIGDB_C2%PID_NFKAPPAB_CANONICAL_PATHWAY	20	19		
PID_IL1_PATHWAY%MSIGDB_C2%PID_IL1_PATHWAY	29	22		
BIOCARTA_GCR_PATHWAY%MSIGDB_C2%BIOCARTA_GCR_PATHWAY	11		Rejected!	
PID_RHOA_REG_PATHWAY%MSIGDB_C2%PID_RHOA_REG_PATHWAY	38	32		
BIOCARTA_CFTR_PATHWAY%MSIGDB_C2%BIOCARTA_CFTR_PATHWAY	8		Rejected!	
BIOCARTA_SAM68_PATHWAY%MSIGDB_C2%BIOCARTA_SAM68_PATHWAY	5		Rejected!	
PID_LIS1_PATHWAY%MSIGDB_C2%PID_LIS1_PATHWAY	25	18		
BIOCARTA_RACCYCD_PATHWAY%MSIGDB_C2%BIOCARTA_RACCYCD_PATHWAY	24	23		
PID_AVB3_OPN_PATHWAY%MSIGDB_C2%PID_AVB3_OPN_PATHWAY	28	24		
PID_ECADHERIN_KERATINOCYTE_PATHWAY%MSIGDB_C2%PID_ECADHERIN_KERATINOCYTE_PATHWAY	18	16		
PID_DELTA_NP63_PATHWAY%MSIGDB_C2%PID_DELTA_NP63_PATHWAY	41	31		
BIOCARTA_NKT_PATHWAY%MSIGDB_C2%BIOCARTA_NKT_PATHWAY	20		Rejected!	
PID_IFNG_PATHWAY%MSIGDB_C2%PID_IFNG_PATHWAY	29	26		
BIOCARTA_NPP1_PATHWAY%MSIGDB_C2%BIOCARTA_NPP1_PATHWAY	10		Rejected!	
PID_INTEGRIN2_PATHWAY%MSIGDB_C2%PID_INTEGRIN2_PATHWAY	23		Rejected!	
BIOCARTA_P53_PATHWAY%MSIGDB_C2%BIOCARTA_P53_PATHWAY	14		Rejected!	
BIOCARTA_IL4_PATHWAY%MSIGDB_C2%BIOCARTA_IL4_PATHWAY	8		Rejected!	
BIOCARTA_IRES_PATHWAY%MSIGDB_C2%BIOCARTA_IRES_PATHWAY	6		Rejected!	
BIOCARTA_DSP_PATHWAY%MSIGDB_C2%BIOCARTA_DSP_PATHWAY	7		Rejected!	
BIOCARTA_FEEDER_PATHWAY%MSIGDB_C2%BIOCARTA_FEEDER_PATHWAY	6		Rejected!	
BIOCARTA_RANKL_PATHWAY%MSIGDB_C2%BIOCARTA_RANKL_PATHWAY	14		Rejected!	
BIOCARTA_DC_PATHWAY%MSIGDB_C2%BIOCARTA_DC_PATHWAY	16		Rejected!	
PID_CONE_PATHWAY%MSIGDB_C2%PID_CONE_PATHWAY	22		Rejected!	
BIOCARTA_WNT_PATHWAY%MSIGDB_C2%BIOCARTA_WNT_PATHWAY	23	18		
PID_THROMBIN_PAR1_PATHWAY%MSIGDB_C2%PID_THROMBIN_PAR1_PATHWAY	32	25		
BIOCARTA_CHREBP_PATHWAY%MSIGDB_C2%BIOCARTA_CHREBP_PATHWAY	14		Rejected!	
BIOCARTA_ASBCELL_PATHWAY%MSIGDB_C2%BIOCARTA_ASBCELL_PATHWAY	13		Rejected!	
PID_MET_PATHWAY%MSIGDB_C2%PID_MET_PATHWAY	65	62		
BIOCARTA_NPC_PATHWAY%MSIGDB_C2%BIOCARTA_NPC_PATHWAY	9		Rejected!	
PID_PI3KCI_AKT_PATHWAY%MSIGDB_C2%PID_PI3KCI_AKT_PATHWAY	30	25		
BIOCARTA_TSP1_PATHWAY%MSIGDB_C2%BIOCARTA_TSP1_PATHWAY	7		Rejected!	
BIOCARTA_EGF_PATHWAY%MSIGDB_C2%BIOCARTA_EGF_PATHWAY	23	22		
BIOCARTA_RNAPOL3_PATHWAY%MSIGDB_C2%BIOCARTA_RNAPOL3_PATHWAY	6		Rejected!	
PID_AR_NONGENOMIC_PATHWAY%MSIGDB_C2%PID_AR_NONGENOMIC_PATHWAY	27	24		
PID_AR_TF_PATHWAY%MSIGDB_C2%PID_AR_TF_PATHWAY	44	37		
PID_THROMBIN_PAR4_PATHWAY%MSIGDB_C2%PID_THROMBIN_PAR4_PATHWAY	14		Rejected!	
BIOCARTA_MTA3_PATHWAY%MSIGDB_C2%BIOCARTA_MTA3_PATHWAY	14		Rejected!	
BIOCARTA_MONOCYTE_PATHWAY%MSIGDB_C2%BIOCARTA_MONOCYTE_PATHWAY	8		Rejected!	
BIOCARTA_INTEGRIN_PATHWAY%MSIGDB_C2%BIOCARTA_INTEGRIN_PATHWAY	30	27		
BIOCARTA_ARENRF2_PATHWAY%MSIGDB_C2%BIOCARTA_ARENRF2_PATHWAY	18	15		
BIOCARTA_CSK_PATHWAY%MSIGDB_C2%BIOCARTA_CSK_PATHWAY	17		Rejected!	
BIOCARTA_PAR1_PATHWAY%MSIGDB_C2%BIOCARTA_PAR1_PATHWAY	16		Rejected!	
BIOCARTA_FXR_PATHWAY%MSIGDB_C2%BIOCARTA_FXR_PATHWAY	7		Rejected!	
BIOCARTA_SUMO_PATHWAY%MSIGDB_C2%BIOCARTA_SUMO_PATHWAY	6		Rejected!	
