"__mclCluster","EnrichmentMap::-log10(pvalue) (A2_enrichment)","EnrichmentMap::-log10(pvalue)*sign(NES) (A2_enrichment)","EnrichmentMap::-log10(pvalue)_max","EnrichmentMap::Colouring (A2_enrichment)","EnrichmentMap::Dataset_Chart","EnrichmentMap::ES (A2_enrichment)","EnrichmentMap::fdr_qvalue (A2_enrichment)","EnrichmentMap::fwer_qvalue (A2_enrichment)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (A2_enrichment)","EnrichmentMap::pvalue (A2_enrichment)","name","selected","shared name"
"23","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.7452","0.0062","0.329","GET4|UBL4A|SEC63|SGTB|SPCS2|RYR2|RAB10|RAB3GAP2|MAN1A1|EDEM1|CHMP4B|CHMP4A|SRP54|SEC61G|SEC61B|SRPRA|SRPRB|SRP72|SRP68|SEC61A2|SEC62|SRP14|ZFAND2A|ZFAND2B|HSPA5|RAB3GAP1|SEC61A1|SRP19|SRP9|SPCS3|SPCS1|SGTA|BAG6","establishment of protein localization to endoplasmic reticulum","33","ENR","ESTABLISHMENT OF PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GOBP%GO:0072599","2.0385","0.0","ESTABLISHMENT OF PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GOBP%GO:0072599","false","ESTABLISHMENT OF PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GOBP%GO:0072599"
"3","2.886056647693163","-2.886056647693163","2.886056647693163","-1.0","1","-0.4919","0.0034","0.04","NDUFC1|NDUFS8|NDUFS6|COX6B2|NDUFS4|NDUFS1|COX6A1|HIGD1C|SLC25A12|SLC25A11|FXN|NDUFB8|NDUFB6|NDUFB5|SDHB|NDUFB4|NDUFB3|MT-CO1|NDUFA1|NDUFB2|NDUFB1|SDHD|SDHA|UQCRC1|COX6A2|COX5A|NDUFS2|NDUFA9|NDUFA7|NDUFA6|NDUFA4|GOT1|NDUFA3|NDUFA2|CYC1|COX7A1|SCO2|MT-CO3|COX6B1|OXA1L|HCCS|TMEM126A|LETM1|ETFDH|NDUFS7|ECSIT|COX17|DMAC1|DMAC2|PET117|FOXRED1|SDHC|NDUFA8|TIMMDC1|SURF1|PET100|NUBPL|TTC19|UQCRHL|LYRM2|LYRM4|SLC25A18|LYRM7|MT-ND6|MT-ND4|SLC25A22|NDUFA13|MT-ND5|NDUFA11|NDUFA12|TACO1|NDUFA10|MT-ND2|MT-ND3|MT-ND1|CMC1|BCS1L|PYURF|NDUFAF2|SCO1|TMEM126B|COX19|NDUFB10|COX16|NDUFB11|COX18|HIGD1A|COX14|NDUFV1|HSPA9|NDUFV3|TRAP1|COA3|COA1|UQCC3|UQCC2|UQCC1|GOT2|UQCC6|UQCC5|HIGD2A|NDUFAF8|NDUFAF6|NDUFAF7|NDUFAF5|SFXN4|NDUFAF3|NDUFAF1|MT-CYB|COX20|HSCB|TMEM186|TMEM223|COA5|RAB5IF|ACAD9|TIMM21|COQ10B|COQ10A|TMEM177|NDUFS5|SMIM20|NDUFB9|MDH1|UQCRQ|COX4I2|COX7B|ETFB|SLC25A13|COX8A|COX7A2L|UQCRC2|UQCRB|NDUFS3|COX7A2|NDUFB7|MDH2|UQCRH|NDUFAF4|UQCR11|UQCR10|COX11|NDUFV2|NDUFA5|CYCS|MT-CO2|COX4I1|ETFA|COX7C|COX15|COX8C|COX5B|UQCRFS1|NDUFAB1|COX6C|NDUFC2","Respiratory electron transport","156","ENR","RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 93%611105","-2.1142","0.0","RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 93%611105","false","RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 93%611105"
"6","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.7042","0.0108","0.701","ELOVL7|ACSL3|ACSF3|ACSBG1|PPT2|PPT1|NUDT7|ACSBG2|ELOVL5|ELOVL3|HACD1|DLD|TECR|BCKDHA|ACACA|DGAT1|HACD2|BCKDHB|DBT|SLC27A2|ACSL1|ACSL5|HSD17B4|ELOVL6|CBR4|DGAT2|GCDH|ACOT7|ACAT1|ABCD1|ACSM2A|THEM5|FAR1|FAR2|NUDT8|FASN|HSD17B12|FITM2|NUDT19|HTD2|ELOVL1|ELOVL2|ACSL6|ACSL4","fatty-acyl-CoA metabolic process","44","ENR","FATTY-ACYL-COA METABOLIC PROCESS%GOBP%GO:0035337","1.974","0.0","FATTY-ACYL-COA METABOLIC PROCESS%GOBP%GO:0035337","false","FATTY-ACYL-COA METABOLIC PROCESS%GOBP%GO:0035337"
"7","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.7791","0.0298","0.995","ANGPTL4|CREB3L3|PCSK5|LIPG|APOA5|ANGPTL8|MTTP|LCAT|APOC3|LMF2|ALB|APOC2|LMF1|APOF|GPIHBP1|FGF21|LIPC|ANGPTL3|MBTPS1|MBTPS2|APOE|ABCG1|P4HB|APOB|APOA1|LPA|APOA4|APOA2|FURIN|LPL|PCSK6|CETP","Plasma lipoprotein remodeling","32","ENR","PLASMA LIPOPROTEIN REMODELING%REACTOME DATABASE ID RELEASE 93%8963899","1.8699","0.0","PLASMA LIPOPROTEIN REMODELING%REACTOME DATABASE ID RELEASE 93%8963899","false","PLASMA LIPOPROTEIN REMODELING%REACTOME DATABASE ID RELEASE 93%8963899"
"6","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.6141","0.0358","0.999","ELOVL7|ACSL3|ACSF3|ACSBG1|PPT2|PPT1|ACSBG2|HACD1|GGT6|TECR|GGTA1|HACD2|BCKDHA|ACACA|DGAT1|AWAT1|BCKDHB|GGT1|GGTLC2|ACSS3|ACSL1|ACSL5|ALDH3A2|CBR4|ALOX15|GCDH|ABCD1|OXCT2|CYP4F12|HMGCLL1|AACS|OXCT1|FASN|HSD17B12|DPEP2|DPEP1|FITM2|NUDT19|LYPLA2|ADHFE1|ACSL6|GGTLC1|GGTLC3|CYP4F2|NUDT7|ELOVL5|ELOVL3|DLD|DBT|ALOX5|SLC27A2|ELOVL6|HSD17B4|DGAT2|PTGR1|ALOX15B|ABHD16A|PAM|HMGCL|ACOT7|ACAT1|AWAT2|ACSM2A|ALOX12|THEM5|FAR1|FAR2|NUDT8|GGT5|GGT2P|GGT7|HTD2|HMGCS2|GGT3P|ELOVL1|PECR|ELOVL2|ACSL4","fatty acid derivative metabolic process","78","ENR","FATTY ACID DERIVATIVE METABOLIC PROCESS%GOBP%GO:1901568","1.8462","0.0","FATTY ACID DERIVATIVE METABOLIC PROCESS%GOBP%GO:1901568","false","FATTY ACID DERIVATIVE METABOLIC PROCESS%GOBP%GO:1901568"
"2","2.886056647693163","-2.886056647693163","2.886056647693163","-1.0","1","-0.5031","0.029","0.8","RPS4X|RPS15|RPL5|RPL7A|RPS17|RPS16|RPL18A|RPS18|RPLP2|RPL23|RPL35|RPL38|RPL37|RPL21|RPS7|RPS8|RPL13A|RPL9P9|RPL37A|RPL24|RPL27|RPSA|RPL36|RPL4|RPL8|RPS12|RPS11|RPS13|RPL18|RPS3|RPL14|RPS2|RPS14|RPS19|RPL34|RPL6|RPL39|RPS9|RPS10|RPS5|RPL22|RPS6|RPL30|RPL26|RARS1|RPL29|RPL28|UBA52|RPL10|RPL12|RPL36A|RPS15A|RPL13|RPL15|RPL17|RPL19|RPL41|RPL35A|RPL23A|RPS26|RPS25|RPL11|RPS28|RPS27|RPLP0|RPS29|RPS3A|RPL27A|RPS20|FAU|RPS21|RPS24|RPS23|RPL3|RACK1|RPL32|RPL31|RPLP1|RPL10A|RPL7","Protein Synthesis: Arginine","80","ENR","PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853","-1.8838","0.0","PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853","false","PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853"
"15","2.537602002101044","2.537602002101044","2.537602002101044","0.9971","1","0.6248","0.045","1.0","TEAD1|APLN|FOS|NGFR|EGFR|EGR1|MYCN|ETS1|NFKB1|FOSL1|FGF2|PDGFB|STAT3|HIF1A|FOXA1|RELA|KLF4|ZSWIM8|PAX6|TP53|GATA3|PRL|SPI1|MYB|IL6|MRTFA|AGT|IL10|PNPT1|SREBF1|POU2F1|GATA2|WT1|TERT|JUN|TGFB1|MRTFB|NOTCH2|AR|FOXO3|NOTCH3|SMAD3|TNF|ATOH8|SRF|MYC|ZC3H12A|NR3C1|PPARG|LIN28B|SMARCA4|HRAS|GNL3|TGFB2","positive regulation of miRNA metabolic process","54","ENR","POSITIVE REGULATION OF MIRNA METABOLIC PROCESS%GOBP%GO:2000630","1.8183","0.0029","POSITIVE REGULATION OF MIRNA METABOLIC PROCESS%GOBP%GO:2000630","false","POSITIVE REGULATION OF MIRNA METABOLIC PROCESS%GOBP%GO:2000630"
"19","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.6616","0.0133","0.809","YIF1A|GFPT1|TPP1|KLHDC3|HDGF|MYDGF|DDX11|CTDSP2|CUL7|EXTL2|PPP2R5B|PREB|EXTL1|EXTL3|SULT1A3|TSPYL2|SYVN1|DNAJC3|PDIA6|DNAJB11|ADD1|HSPA5|LMNA|ARFGAP1|ACADVL|GSK3A|TATDN2|PDIA5|ERN1|ATP6V0D1|SHC1|SSR1|PLA2G4B|SEC31A|EDEM1|SRPRA|SRPRB|HYOU1|FKBP14|ZBTB17|SERP1|WIPI1|WFS1|DNAJB9|DCTN1|GOSR2|CXXC1|KDELR3|TLN1","IRE1alpha activates chaperones","49","ENR","IRE1ALPHA ACTIVATES CHAPERONES%REACTOME%R-HSA-381070.3","1.9535","0.0","IRE1ALPHA ACTIVATES CHAPERONES%REACTOME%R-HSA-381070.3","false","IRE1ALPHA ACTIVATES CHAPERONES%REACTOME%R-HSA-381070.3"
"2","2.886056647693163","-2.886056647693163","2.886056647693163","-1.0","1","-0.506","0.023","0.589","RPS4X|RPS15|RPL5|RPL7A|RPS17|RPS16|RPL18A|RPS18|RPLP2|RPL23|RPL35|RPL38|RPL37|RPL21|RPS7|RPS8|RPL13A|RPL9P9|RPL37A|RPL24|RPL27|RPSA|EPRS1|RPL36|RPL4|RPL8|RPS12|RPS11|RPS13|RPL18|RPS3|RPL14|RPS2|RPS14|RPS19|RPL34|RPL6|RPL39|RPS9|RPS10|RPS5|RPL22|RPS6|RPL30|RPL26|RPL29|RPL28|UBA52|RPL10|RPL12|RPL36A|RPS15A|RPL13|RPL15|RPL17|RPL19|RPL41|RPL35A|RPL23A|RPS26|RPS25|RPL11|RPS28|RPS27|RPLP0|RPS29|RPS3A|RPL27A|RPS20|FAU|RPS21|RPS24|RPS23|RPL3|RACK1|RPL32|RPL31|RPLP1|RPL10A|RPL7","Protein Synthesis: Glutamic Acid","80","ENR","PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922","-1.932","0.0","PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922","false","PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922"
"2","2.886056647693163","-2.886056647693163","2.886056647693163","-1.0","1","-0.5022","0.0241","0.582","RPS4X|RPS15|RPL5|RPL7A|RPS17|RPS16|RPL18A|RPS18|RPLP2|RPL23|RPL35|RPL38|RPL37|RPL21|RPS7|RPS8|RPL13A|RPL9P9|RPL37A|RPL24|RPL27|RPSA|RPL36|RPL4|RPL8|RPS12|RPS11|RPS13|RPL18|RPS3|RPL14|RPS2|RPS14|RPS19|RPL34|RPL6|RPL39|RPS9|RPS10|RPS5|RPL22|FARSA|RPS6|FARSB|RPL30|RPL26|RPL29|RPL28|UBA52|RPL10|RPL12|RPL36A|RPS15A|RPL13|RPL15|RPL17|RPL19|RPL41|RPL35A|RPL23A|RPS26|RPS25|RPL11|RPS28|RPS27|RPLP0|RPS29|RPS3A|RPL27A|RPS20|FAU|RPS21|RPS24|RPS23|RPL3|RACK1|RPL32|RPL31|RPLP1|RPL10A|RPL7","Protein Synthesis: Phenylalanine","81","ENR","PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934","-1.9332","0.0","PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934","false","PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934"
"1","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.7843","0.0084","0.483","FDFT1|ACAT2|FDPS|NSDHL|MSMO1|SOAT1|CYP51A1|LSS|GGPS1|TM7SF2|LIPA|DHCR24|SC5D|EBP|MVD|HSD17B7|MVK|HMGCR|SQLE|PMVK|IDI1","Fluvastatin Action Pathway","21","ENR","FLUVASTATIN ACTION PATHWAY%PATHWHIZ%PW000274","2.0109","0.0","FLUVASTATIN ACTION PATHWAY%PATHWHIZ%PW000274","false","FLUVASTATIN ACTION PATHWAY%PATHWHIZ%PW000274"
"10","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.6901","0.0069","0.385","VCP|HERPUD1|DNAJC10|PTPN1|TBL2|MANF|NFE2L2|RNF7|ERN2|AMFR|CDK5RAP3|DDIT3|EDEM2|HSPA5|HSPA1A|ATF6|HERPUD2|RTCB|ASB11|VAPB|CREBZF|ERMP1|TMBIM4|SIRT1|YOD1|ERN1|PARP6|BHLHA15|CREB3L1|TMTC4|PARP16|CREB3|CTH|ATF4|PARP8|AGR2|EIF2AK3|ATF6B|DERL3|DERL2|MBTPS1|MBTPS2|RHBDD2|SERP1|XBP1|QRICH1|WFS1|EIF2S1|EDEM3|SERP2|RPAP2|SELENOS|DERL1","endoplasmic reticulum unfolded protein response","53","ENR","ENDOPLASMIC RETICULUM UNFOLDED PROTEIN RESPONSE%GOBP%GO:0030968","2.0283","0.0","ENDOPLASMIC RETICULUM UNFOLDED PROTEIN RESPONSE%GOBP%GO:0030968","false","ENDOPLASMIC RETICULUM UNFOLDED PROTEIN RESPONSE%GOBP%GO:0030968"
"8","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.8752","0.002","0.079","ABCC5|PPIB|CYP2E1|CYP1A2|SDF2L1|UGT1A6|UGT2B15|CYP2A6|ABCG2|GSTP1|GSTT1|SULT1A4|SULT2A1|ABCC1|HYOU1|SULT1A1|UGT1A1|PDIA6|PDIA4|DNAJB11|ABCB1|ERP29|CYP3A4|UGT1A9|HSPA5|SULT1E1|CYP2D6|ABCC4|PDIA2|HSP90B1","Acetaminophen Metabolism Pathway","30","ENR","ACETAMINOPHEN METABOLISM PATHWAY%PATHWHIZ%PW000616","2.1163","0.0","ACETAMINOPHEN METABOLISM PATHWAY%PATHWHIZ%PW000616","false","ACETAMINOPHEN METABOLISM PATHWAY%PATHWHIZ%PW000616"
"3","2.886056647693163","-2.886056647693163","2.886056647693163","-1.0","1","-0.608","0.0048","0.092","COX16|COX18|HIGD1A|COX14|COX4I2|COX6B2|COX7B|COX6A1|COA3|COA1|HIGD2A|COX8A|MT-CO1|COX7A2L|COX6A2|COX20|COX5A|COX7A2|TMEM223|COA5|RAB5IF|TIMM21|COX17|COQ10B|COQ10A|TMEM177|COX11|PET117|NDUFA4|SMIM20|SURF1|PET100|SCO2|COX7A1|MT-CO2|MT-CO3|COX4I1|TACO1|COX6B1|COX7C|COX15|CMC1|COX8C|COX5B|SCO1|COX19|COX6C","Complex IV assembly","47","ENR","COMPLEX IV ASSEMBLY%REACTOME%R-HSA-9864848.2","-2.0752","0.0","COMPLEX IV ASSEMBLY%REACTOME%R-HSA-9864848.2","false","COMPLEX IV ASSEMBLY%REACTOME%R-HSA-9864848.2"
"1","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.7843","0.0093","0.553","FDFT1|ACAT2|FDPS|NSDHL|MSMO1|SOAT1|CYP51A1|LSS|GGPS1|TM7SF2|LIPA|DHCR24|SC5D|EBP|MVD|HSD17B7|MVK|HMGCR|SQLE|PMVK|IDI1","Alendronate Action Pathway","21","ENR","ALENDRONATE ACTION PATHWAY%PATHWHIZ%PW000137","1.9985","0.0","ALENDRONATE ACTION PATHWAY%PATHWHIZ%PW000137","false","ALENDRONATE ACTION PATHWAY%PATHWHIZ%PW000137"
,"2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.6267","7.0E-4","0.016","RNF19B|VEGFA|PTX3|IER5|TNLG5A|TNC|TAP1|NINJ1|MARCKS|ATF3|GEM|SDC4|EHD1|JUN|MAFF|GADD45A|PLK2|LIF|PLEK|PTPRE|BMP2|KYNU|OLR1|G0S2|MXD1|TNF|CCND1|BTG2|DUSP5|MAP2K3|CDKN1A|SERPINB2|CD83|BTG1|CSF2|CSF1|CD80|ETS2|IFIT2|F3|ZFP36|ZC3H12A|NAMPT|CCRL2|SLC16A6|IL12B|MAP3K8|DENND5A|PHLDA2|CCNL1|JUNB|SQSTM1|PHLDA1|MCL1|IER2|ICOSLG|SPHK1|IL15RA|IL23A|SIK1|CEBPB|TRIB1|PLPP3|IL6ST|FOS|BHLHB2|FUT4|BTG3|SOCS3|SNN|IL1A|MSC|ABCA1|EGR1|EGR2|TIPARP|TNFRSF9|HBEGF|NFKB1|PPP1R15A|NFKB2|CCL5|FOSL2|NFKBIA|FOSL1|EFNA1|RCAN1|YRDC|IL18|CXCL11|NR4A3|BCL6|GPR183|REL|NFKBIE|IL7R|IL1B|RIGI|IRF1|DRAM1|B4GALT1|NFE2L2|TNFAIP6|TNFAIP2|SLC2A3|CXCL3|BIRC3|CXCL2|SLC2A6|LITAF|IFIH1|PANX1|PDE4B|KDM6B|RELA|KLF10|TGIF1|DUSP4|KLF4|DUSP2|EDN1|RIPK2|IFNGR2|TRAF1|SERPINB8|TUBB2A|SGK1|FJX1|GADD45B|BIRC2|CD69|B4GALT5|PTGER4|NFAT5|BCL2A1|CEBPD|INHBA|PTGS2|TANK|IL6|SUI1|RELB|NFIL3|DNAJB4|CCL4|ID2|CCL2|HES1|LDLR|LAMB3|CCL20|ATP2B1|PNRC1|KLF2|PER1|CXCL6|KLF6|SPSB1|TNIP2|CLCF1|KLF9|TRIP10|TNFAIP3|ACKR3|CXCL1|F2RL1|FOSB|AREG|CYR61|PLAUR|RHOB|MYC|TMEPAI|CD44","HALLMARK_TNFA_SIGNALING_VIA_NFKB","174","ENR","HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB","2.1787","0.0","HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB","false","HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"13","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.5525","0.0182","0.938","ZFP36L1|CBFA2T3|RORA|SLC8A3|MDM4|CPEB2|VEGFC|VEGFA|ARNT2|NOP53|AQP1|NDUFS2|TBL2|USF1|BMP7|CIAO3|VEGFD|HIF1A|FMN2|PLOD2|PLOD1|CPEB1|EPAS1|LOXL2|KCNMA1|PGK1|KCND2|DDIT4|GUCY1B1|VHL|ASCL2|ATP6V1G1|TWIST1|NOTCH1|ALKBH5|ATP6AP1|ACAA2|RYR1|GUCY1B2|SFRP1|VMA22|DPP4|NKX3-1|ATP6V1A|NOS1|ATP6V0A2|SCN2A|SIRT1|NPEPPS|TSC1|MT3|PRKAA1|CD24|ATP6V0D1|PTGIS|TERT|ADO|TGFB1|SIRT2|PDK1|HMOX2|PICK1|CHRNA4|TIGAR|CHRNB2|TM9SF4|PDK3|BMP2|MTOR|HYOU1|RPTOR|MDM2|FAM162A|ADAM8|SMAD3|ADA|FABP1|CLDN3|AJUBA|BNIP3L|RGCC|VMA12|MYOCD|TGFB3|CAV1|PMAIP1|AK4|CXCR4|ITPR2|CYB5R4|HIPK2|MLST8|RYR2|GUCY1A1|EGR1|OPRD1|ANG|BAD|NGB|ARNT|ITPR1|NFE2L2|CITED2|PIN1|EP300|CHRNA7|FOXO1|P4HB|LMNA|GATA6|SMAD4|TP53|FAS|TH|HILPDA|AQP3|HSP90B1|GUCY1A2|NDUFA4L2|PTGS2|BNIP3|REST|ANGPTL4|STUB1|SUV39H1|CPEB4|WTIP|EGLN1|NF1|MGARP|EGLN3|SUV39H2|ATG7|ANGPT4|FUNDC1|NDNF|UCP2|MMP2|UBQLN1|SRF|MYC|PINK1|VEGFB|PPARG|EGLN2|LIMD1|PGF|PML|ALAS2|LONP1|PLEKHN1|THBS1|ADAM17|NDRG1|TGFB2|HP1BP3","response to oxygen levels","156","ENR","RESPONSE TO OXYGEN LEVELS%GOBP%GO:0070482","1.9208","0.0","RESPONSE TO OXYGEN LEVELS%GOBP%GO:0070482","false","RESPONSE TO OXYGEN LEVELS%GOBP%GO:0070482"
"12","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.621","0.0123","0.773","CEBPB|NCOA6|EGR2|TBL1XR1|NFKB1|CCND3|CEBPA|TBL1X|HDAC3|PCK1|PPARGC1A|FAM120B|MED12|CDK4|MED15|RXRA|MED1|MED6|EP300|MED23|MED30|SMARCD3|RELA|MED31|KLF4|CHD9|WNT10B|TGS1|MED24|NCOA1|CEBPD|HELZ2|ANGPTL4|NCOR1|PPARA|NCOA3|MED16|MED17|TGFB1|MED14|MED13|MED10|NR2F2|MED27|MED26|MED25|NCOA2|PLIN1|MED20|MED8|CARM1|MED4|MED7|MED19|ADIRF|CD36|TNF|MED18|MED11|ADIPOQ|EBF1|MED9|CDK8|MED29|MED28|MED13L|CCNC|MED22|THRAP3|MED21|ZNF638|KLF5|ZNF467|CDK19|SREBF2|WNT1|PPARG|FABP4|LPL|LEP|NCOR2|CREBBP|SLC2A4","Transcriptional regulation of white adipocyte differentiation","83","ENR","TRANSCRIPTIONAL REGULATION OF WHITE ADIPOCYTE DIFFERENTIATION%REACTOME DATABASE ID RELEASE 93%381340","1.9623","0.0","TRANSCRIPTIONAL REGULATION OF WHITE ADIPOCYTE DIFFERENTIATION%REACTOME DATABASE ID RELEASE 93%381340","false","TRANSCRIPTIONAL REGULATION OF WHITE ADIPOCYTE DIFFERENTIATION%REACTOME DATABASE ID RELEASE 93%381340"
"3","2.886056647693163","-2.886056647693163","2.886056647693163","-1.0","1","-0.607","0.005","0.107","NDUFC1|NDUFS8|NDUFS6|NDUFS4|NDUFS1|NDUFV1|NDUFV3|NDUFB8|NDUFB6|NDUFB5|NDUFB4|NDUFB3|NDUFA1|NDUFB2|MT-ND4L|NDUFB1|NDUFAF1|NDUFS3|NDUFS2|NDUFS7|NDUFB7|NDUFA9|NDUFA7|NDUFA6|NDUFS5|NDUFA4|NDUFV2|NDUFB9|NDUFA8|NDUFA3|NDUFA2|MT-ND6|NDUFA5|MT-ND4|MT-ND5|NDUFA10|MT-ND2|MT-ND3|MT-ND1|NDUFAB1|NDUFC2|NDUFB10","mitochondrial electron transport, NADH to ubiquinone","42","ENR","MITOCHONDRIAL ELECTRON TRANSPORT, NADH TO UBIQUINONE%GOBP%GO:0006120","-2.068","0.0","MITOCHONDRIAL ELECTRON TRANSPORT, NADH TO UBIQUINONE%GOBP%GO:0006120","false","MITOCHONDRIAL ELECTRON TRANSPORT, NADH TO UBIQUINONE%GOBP%GO:0006120"
"1","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.7843","0.0099","0.604","FDFT1|ACAT2|FDPS|NSDHL|MSMO1|SOAT1|CYP51A1|LSS|GGPS1|TM7SF2|LIPA|DHCR24|SC5D|EBP|MVD|HSD17B7|MVK|HMGCR|SQLE|PMVK|IDI1","Chondrodysplasia Punctata II, X-Linked Dominant (CDPX2)","21","ENR","CHONDRODYSPLASIA PUNCTATA II, X-LINKED DOMINANT (CDPX2)%SMPDB%SMP0000388","1.991","0.0","CHONDRODYSPLASIA PUNCTATA II, X-LINKED DOMINANT (CDPX2)%SMPDB%SMP0000388","false","CHONDRODYSPLASIA PUNCTATA II, X-LINKED DOMINANT (CDPX2)%SMPDB%SMP0000388"
"2","2.886056647693163","-2.886056647693163","2.886056647693163","-1.0","1","-0.5016","0.0245","0.671","RPS4X|RPS15|RPL5|RPL7A|RPS17|RPS16|RPL18A|RPS18|RPLP2|RPL23|RPL35|RPL38|RPL37|RPL21|RPS7|RPS8|RPL13A|RPL9P9|RPL37A|RPL24|RPL27|RPSA|RPL36|RPL4|RPL8|RPS12|RPS11|RPS13|RPL18|RPS3|RPL14|RPS2|RPS14|RPS19|RPL34|RPL6|RPL39|RPS9|AARS1|RPS10|RPS5|RPL22|RPS6|RPL30|RPL26|RPL29|RPL28|UBA52|RPL10|RPL12|RPL36A|RPS15A|RPL13|RPL15|RPL17|RPL19|RPL41|RPL35A|RPL23A|RPS26|RPS25|RPL11|RPS28|RPS27|RPLP0|RPS29|RPS3A|RPL27A|RPS20|FAU|RPS21|RPS24|RPS23|RPL3|RACK1|RPL32|RPL31|RPLP1|RPL10A|RPL7","Protein Synthesis: Alanine","80","ENR","PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384","-1.9149","0.0","PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384","false","PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384"
"15","2.2924298239020637","2.2924298239020637","2.2924298239020637","0.9949","1","0.7088","0.0322","0.997","NCOR1|PPARA|PPARD|TENT2|VEGFA|TGFB1|BMP4|PDGFB|SOX9|HIF1A|ZNF512B|RARA|SMAD3|POU5F1|ESR1|TNF|RELA|SRF|LILRB4|NFIB|NFATC4|NFATC3|TWIST1|PPARG|NCOR2|REST","negative regulation of miRNA metabolic process","26","ENR","NEGATIVE REGULATION OF MIRNA METABOLIC PROCESS%GOBP%GO:2000629","1.8625","0.0051","NEGATIVE REGULATION OF MIRNA METABOLIC PROCESS%GOBP%GO:2000629","false","NEGATIVE REGULATION OF MIRNA METABOLIC PROCESS%GOBP%GO:2000629"
"17","2.113509274827518","2.113509274827518","2.113509274827518","0.9923","1","0.7328","0.0347","0.997","RPS27A|UBA52|UBC|AMFR|MAN1B1|MARCHF6|SEL1L|EDEM2|UBB|RNF185|RNF139|UGGT1|UGGT2|EDEM3|RNF103|TRIM13|EDEM1|DERL2|RNF5|SYVN1|OS9","ER Quality Control Compartment (ERQC)","21","ENR","ER QUALITY CONTROL COMPARTMENT (ERQC)%REACTOME%R-HSA-901032.7","1.8537","0.0077","ER QUALITY CONTROL COMPARTMENT (ERQC)%REACTOME%R-HSA-901032.7","false","ER QUALITY CONTROL COMPARTMENT (ERQC)%REACTOME%R-HSA-901032.7"
